4f	dec	DI
50	push	AX
51	push	CX
52	push	DX
53	push	BX
54	push	SP
55	push	BP
56	push	SI
57	push	DI
58	pop	AX
59	pop	CX
5a	pop	DX
5b	pop	BX
5c	pop	SP
5d	pop	BP
5e	pop	SI
5f	pop	DI
;60-6f: reserved
70	jo	short
71	jno	short
72	jb	short
73	jae	short
74	jz	short
75	jnz	short
76	jbe	short
77	ja	short
78	js	short
79	jns	short
7a	jpe	short
7b	jpo	short
7c	jl	short
7d	jge	short
7e	jle	short
7f	jg	short
80	<ArOp>	r/m8,imm8
81	<ArOp>	r/m16,imm16
;82: unused
83	<ArOp>	r/m16,simm8
; <ArOp>:
;        000  add
;	 001  or
;        010  adc
;        011  sbb
;        100  and
;        101  sub
;        110  xor
;        111  cmp
84	test	r/m8,r8
85	test	r/m16,r16
86	xchg	r8,r/m8
87	xchg	r16,r/m16
88	mov	r/m8,r8
89	mov	r/m16,r16
8a	mov	r8,r/m8
8b	mov	r16,r/m16
8c	mov	r/m16,seg
8d	lea	r16,mem8		; not exactly mem8, but works
8e	mov	seg,r/m16
8f	pop	r/m16
90	nop
91	xchg	AX,CX
92	xchg	AX,DX
93	xchg	AX,BX
94	xchg	AX,SP
95	xchg	AX,BP
96	xchg	AX,SI
97	xchg	AX,DI
98	cbw
99	cwd
9a	call	far
9b	wait
9c	pushf
9d	popf
9e	sahf
9f	lahf
a0	mov	AL,memoffs8
a1	mov	AX,memoffs16
a2	mov	memoffs8,AL
a3	mov	memoffs16,AX
a4	movsb
a5	movsw
a6	cmpsb
a7	cmpsw
a8	test	AL,imm8
a9	test	AX,imm16
aa	stosb
ab	stosw
ac	lodsb
ad	lodsw
ae	scasb
af	scasw
b0	mov	AL,imm8
b1	mov	CL,imm8
b2	mov	DL,imm8
b3	mov	BL,imm8
b4	mov	AH,imm8
b5	mov	CH,imm8
b6	mov	DH,imm8
b7	mov	BH,imm8
b8	mov	AX,imm16
b9	mov	CX,imm16
ba	mov	DX,imm16
bb	mov	BX,imm16
bc	mov	SP,imm16
bd	mov	BP,imm16
be	mov	SI,imm16
bf	mov	DI,imm16
; c0-c1
c2	retn	imm16
c3	retn
c4	les	r16,mem32
c5	lds	r16,mem32
c6	mov	mem8,imm8
c7	mov	mem16,imm16
; c8-c9
ca	retf	imm16
cb	retf
cc	int	3
cd	int	imm8
ce	into
cf	iret
d0	<ShfOp>	r/m8,1
d1	<ShfOp>	r/m16,1
d2	<ShfOp>	r/m8,CL
d3	<ShfOp>	r/m16,CL
; <ShfOp>:
;        000  rol
;	 001  ror
;        010  rcl
;        011  rcr
;        100  shl	; or sal
;        101  shr
;        110  
;        111  sar
d4	aam	imm8	; special
d5	aad	imm8	; special
; d6	salc		; undocummented
d7	xlat
; d8-df: ESC x (FPU)
e0	loopnz	short
e1	loopz	short
e2	loop	short
e3	jcxz	short
e4	in	AL,imm8
e5	in	AX,imm8
e6	out	imm8,AL
e7	out	imm8,AX
e8	call	near
e9	jmp	near
ea	jmp	far
eb	jmp	short
ec	in	AL,DX
ed	in	AX,DX
ee	out	DX,AL
ef	out	DX,AX
f0	lock		prefix
; f1
f2	repne		prefix
f3	rep		prefix	; or repe
f4	hlt
f5	cmc
f6	<Grp1>	r/m8
f7	<Grp1>	r/m16
; <Grp1>:
;        000  test r/m,imm
;	 001  
;        010  not
;        011  neg
;        100  mul
;        101  imul
;        110  div
;        111  idiv
f8	clc
f9	stc
fa	cli
fb	sti
fc	cld
fd	std
fe	<Grp2>	r/m8
; <Grp2>:            
;        000  inc
;	 001  dec
;        010
;        011
;        100
;        101
;        110
;        111
ff	<Grp3>	r/m16
; <Grp3>:    
;        000  inc
;	 001  dec
;        010  call word ptr [...]
;        011  call dword ptr [...]
;        100  jmp word ptr [...]
;        101  jmp dword ptr [...]
;        110  push
;        111  

